domain	utterance	seqlogical
weather	What counties have a tornado warning	[IN:UNSUPPORTED_WEATHER What counties have a tornado warning ]
weather	Should I wear rain boots	[IN:GET_WEATHER Should I wear [SL:WEATHER_ATTRIBUTE rain boots ] ]
weather	Will the clouds come out today?	[IN:GET_WEATHER Will the [SL:WEATHER_ATTRIBUTE clouds ] come out [SL:DATE_TIME today ] ? ]
weather	Will there be a rain delay at the airport?	[IN:GET_WEATHER Will there be a [SL:WEATHER_ATTRIBUTE rain ] delay at the airport ? ]
weather	What's the weather forecast?	[IN:GET_WEATHER What 's the weather forecast ? ]
weather	will it rain today	[IN:GET_WEATHER will it [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME today ] ]
weather	how hot is it in florida?	[IN:GET_WEATHER how [SL:WEATHER_ATTRIBUTE hot ] is it in [SL:LOCATION florida ] ? ]
weather	It is going to snow in Ohio?	[IN:GET_WEATHER It is going to [SL:WEATHER_ATTRIBUTE snow ] in [SL:LOCATION Ohio ] ? ]
weather	Temperature tomorrow morning for Dehli Fahrenheit	[IN:GET_WEATHER Temperature [SL:DATE_TIME tomorrow morning ] for [SL:LOCATION Dehli ] [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] ]
weather	for Saturday what are you forecasting	[IN:GET_WEATHER [SL:DATE_TIME for Saturday ] what are you forecasting ]
weather	Tell me the current temperature in Fahrenheit.	[IN:GET_WEATHER Tell me the current temperature in [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] . ]
weather	do I need a sweater tonight	[IN:GET_WEATHER do I need a [SL:WEATHER_ATTRIBUTE sweater ] [SL:DATE_TIME tonight ] ]
weather	Give me the weather for the Azores	[IN:GET_WEATHER Give me the weather for the [SL:LOCATION Azores ] ]
weather	What is the current weather in Palermo, Italy?	[IN:GET_WEATHER What is the current weather in [SL:LOCATION Palermo , Italy ] ? ]
weather	Forecast for Norway.	[IN:GET_WEATHER Forecast for [SL:LOCATION Norway ] . ]
weather	What is the weather like in France?	[IN:GET_WEATHER What is the weather like in [SL:LOCATION France ] ? ]
weather	How is the weather in Minneapolis in the morning time?	[IN:GET_WEATHER How is the weather in [SL:LOCATION Minneapolis ] [SL:DATE_TIME in the morning ] time ? ]
weather	In Adelaide what will the weather be on Tuesday morning?	[IN:GET_WEATHER In [SL:LOCATION Adelaide ] what will the weather be [SL:DATE_TIME on Tuesday morning ] ? ]
weather	do you think ill be able to play outside this afternoon	[IN:UNSUPPORTED_WEATHER do you think ill be able to play outside this afternoon ]
weather	I need to know the weather forecast for Madrid.	[IN:GET_WEATHER I need to know the weather forecast for [SL:LOCATION Madrid ] . ]
weather	Is there going to be a storm this afternoon	[IN:GET_WEATHER Is there going to be a [SL:WEATHER_ATTRIBUTE storm ] [SL:DATE_TIME this afternoon ] ]
weather	Will I need snow boots?	[IN:GET_WEATHER Will I need [SL:WEATHER_ATTRIBUTE snow boots ] ? ]
weather	Are there any fog warnings for my commute today	[IN:GET_WEATHER Are there any fog warnings for my commute [SL:DATE_TIME today ] ]
weather	What will the weather be like in New York at 1:00pm?	[IN:GET_WEATHER What will the weather be like in [SL:LOCATION New York ] [SL:DATE_TIME at 1 : 00 pm ] ? ]
weather	Please tell me tonight's rainfall	[IN:GET_WEATHER Please tell me [SL:DATE_TIME tonight ] 's [SL:WEATHER_ATTRIBUTE rainfall ] ]
weather	what time is the sun setting today	[IN:GET_SUNSET what time is the sun setting [SL:DATE_TIME today ] ]
weather	when does the sun set today?	[IN:GET_SUNSET when does the sun set [SL:DATE_TIME today ] ? ]
weather	Is it below 55 in Fahrenheit out there tonight	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE below ] [SL:WEATHER_ATTRIBUTE 55 ] in [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] [SL:LOCATION out there ] [SL:DATE_TIME tonight ] ]
weather	Will it be around 67 in degrees Celcius at Mumbai tomorrow	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE around ] [SL:WEATHER_ATTRIBUTE 67 ] in degrees [SL:WEATHER_TEMPERATURE_UNIT Celcius ] at [SL:LOCATION Mumbai ] [SL:DATE_TIME tomorrow ] ]
weather	Are there any named hurricanes in Fl	[IN:UNSUPPORTED_WEATHER Are there any named [SL:WEATHER_ATTRIBUTE hurricanes ] in [SL:LOCATION Fl ] ]
weather	Will it be around 73 in f inside tonight	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE around ] [SL:WEATHER_ATTRIBUTE 73 ] in [SL:WEATHER_TEMPERATURE_UNIT f ] [SL:LOCATION inside ] [SL:DATE_TIME tonight ] ]
weather	Will it be below 29 degree Celcius near Karachi	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE below ] [SL:WEATHER_ATTRIBUTE 29 ] degree [SL:WEATHER_TEMPERATURE_UNIT Celcius ] near [SL:LOCATION Karachi ] ]
weather	track the storm in the tropics	[IN:UNSUPPORTED_WEATHER track the [SL:WEATHER_ATTRIBUTE storm ] in the [SL:LOCATION tropics ] ]
weather	How much rain have we gotten this month	[IN:UNSUPPORTED_WEATHER How much [SL:WEATHER_ATTRIBUTE rain ] have we gotten [SL:DATE_TIME this month ] ]
weather	What's the dew point?	[IN:UNSUPPORTED_WEATHER What 's the [SL:WEATHER_ATTRIBUTE dew point ] ? ]
weather	what is the protocol for stormy weather in schools	[IN:UNSUPPORTED_WEATHER what is the protocol for [SL:WEATHER_ATTRIBUTE stormy ] weather in [SL:LOCATION schools ] ]
weather	What is a tornado watch	[IN:UNSUPPORTED_WEATHER What is a [SL:WEATHER_ATTRIBUTE tornado ] watch ]
weather	What is the first day of Autumn this year	[IN:UNSUPPORTED_WEATHER What is the first day of [SL:DATE_TIME Autumn this year ] ]
weather	Will it be around 62 degrees celcius seattle next week	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE around ] [SL:WEATHER_ATTRIBUTE 62 ] degrees [SL:WEATHER_TEMPERATURE_UNIT celcius ] [SL:LOCATION seattle ] [SL:DATE_TIME next week ] ]
weather	How much time until sunset	[IN:GET_SUNSET How much time until sunset ]
weather	Temperature out there tonight C	[IN:GET_WEATHER Temperature [SL:LOCATION out there ] [SL:DATE_TIME tonight ] [SL:WEATHER_TEMPERATURE_UNIT C ] ]
weather	when are they calling for snow	[IN:UNSUPPORTED_WEATHER when are they calling for [SL:WEATHER_ATTRIBUTE snow ] ]
weather	The temperature in Fahrenheit outside right now.	[IN:GET_WEATHER The temperature in [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] outside right now . ]
weather	How hot is it tomorrow in degrees Celsius	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] is it [SL:DATE_TIME tomorrow ] in degrees [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ]
weather	what time will the sun set in august	[IN:GET_SUNSET what time will the sun set [SL:DATE_TIME in august ] ]
weather	when is sunrise tomorrow	[IN:GET_SUNRISE when is sunrise [SL:DATE_TIME tomorrow ] ]
weather	What time did the sun rise 3 years ago today	[IN:GET_SUNRISE What time did the sun rise [SL:DATE_TIME 3 years ago today ] ]
weather	what time does the sun set tonight	[IN:GET_SUNSET what time does the sun set [SL:DATE_TIME tonight ] ]
weather	I need the time when it starts getting dark	[IN:GET_SUNSET I need the time when it starts getting dark ]
weather	What time will the sun set today	[IN:GET_SUNSET What time will the sun set [SL:DATE_TIME today ] ]
weather	when does the sun rise	[IN:GET_SUNRISE when does the sun rise ]
weather	What time does the sun rise tomorrow	[IN:GET_SUNRISE What time does the sun rise [SL:DATE_TIME tomorrow ] ]
weather	When will the sun come down on Saturday	[IN:GET_SUNSET When will the sun come down [SL:DATE_TIME on Saturday ] ]
weather	when will it be dusk	[IN:GET_SUNSET when will it be dusk ]
weather	let me know when sunset is	[IN:GET_SUNSET let me know when sunset is ]
weather	What time is sunrise tomorrow	[IN:GET_SUNRISE What time is sunrise [SL:DATE_TIME tomorrow ] ]
weather	when is sunrise	[IN:GET_SUNRISE when is sunrise ]
weather	What time is sunrise tomorrow	[IN:GET_SUNRISE What time is sunrise [SL:DATE_TIME tomorrow ] ]
weather	How many mm of rain are we expecting this evening.	[IN:GET_WEATHER How many [SL:MEASUREMENT_UNIT mm ] of [SL:WEATHER_ATTRIBUTE rain ] are we expecting [SL:DATE_TIME this evening ] . ]
weather	Weather in current location	[IN:GET_WEATHER Weather in [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER current location ] ] ] ]
weather	what time is sunrise tomorrow	[IN:GET_SUNRISE what time is sunrise [SL:DATE_TIME tomorrow ] ]
weather	What time is sunrise tomorrow?	[IN:GET_SUNRISE What time is sunrise [SL:DATE_TIME tomorrow ] ? ]
weather	What time does the sun rise	[IN:GET_SUNRISE What time does the sun rise ]
weather	gimmie that local radar readout	[IN:GET_WEATHER gimmie that [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar readout ]
weather	What time is dusk in my town	[IN:GET_SUNSET What time is dusk in [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER my town ] ] ] ]
weather	SHOW ME THE RADAR FOR MY AREA	[IN:GET_WEATHER SHOW ME THE RADAR FOR [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER MY AREA ] ] ] ]
weather	advise me on how many cm of rain is due tomorrow	[IN:GET_WEATHER advise me on how many [SL:MEASUREMENT_UNIT cm ] of [SL:WEATHER_ATTRIBUTE rain ] is due [SL:DATE_TIME tomorrow ] ]
weather	How many cm of snow are we expecting?	[IN:GET_WEATHER How many [SL:MEASUREMENT_UNIT cm ] of [SL:WEATHER_ATTRIBUTE snow ] are we expecting ? ]
weather	I need the local radar	[IN:GET_WEATHER I need the [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar ]
weather	what is the local radar forecast	[IN:GET_WEATHER what is the [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar forecast ]
weather	What is the forecast for this weekend at my mums?	[IN:GET_WEATHER What is the forecast [SL:DATE_TIME for this weekend ] at [SL:LOCATION [IN:GET_INFO_CONTACT [SL:CONTACT [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION mums ] ] ] ] ] ? ]
weather	What time does the sun set this time of year in my city	[IN:GET_SUNSET What time does the sun set this time of year in [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER my city ] ] ] ]
weather	what's the radar look like in my area	[IN:GET_WEATHER what 's the radar look like in [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER my area ] ] ] ]
weather	Weather here 10th June	[IN:GET_WEATHER Weather [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] [SL:DATE_TIME 10th June ] ]
weather	show me weather radar in my area	[IN:GET_WEATHER show me weather radar in [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER my area ] ] ] ]
weather	what's the local radar	[IN:GET_WEATHER what 's the [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar ]
weather	in centimeters, how much rain will we be getting tonight	[IN:GET_WEATHER in [SL:MEASUREMENT_UNIT centimeters ] , how much [SL:WEATHER_ATTRIBUTE rain ] will we be getting [SL:DATE_TIME tonight ] ]
weather	Pull up the radar for my current area	[IN:GET_WEATHER Pull up the radar for [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER my current area ] ] ] ]
weather	how many millimetres of rain is expected?	[IN:GET_WEATHER how many [SL:MEASUREMENT_UNIT millimetres ] of [SL:WEATHER_ATTRIBUTE rain ] is expected ? ]
weather	whats the weather radar look like near me	[IN:GET_WEATHER whats the weather radar look like [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS near ] [SL:LOCATION_USER me ] ] ] ]
weather	radar for my region	[IN:GET_WEATHER radar for [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER my region ] ] ] ]
weather	tell me local radar for today	[IN:GET_WEATHER tell me [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar [SL:DATE_TIME for today ] ]
weather	what's the local radar like tomorrow	[IN:GET_WEATHER what 's the [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar like [SL:DATE_TIME tomorrow ] ]
weather	tell me the local radar for tomorrow	[IN:GET_WEATHER tell me the [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar [SL:DATE_TIME for tomorrow ] ]
weather	tell me local radar	[IN:GET_WEATHER tell me [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar ]
weather	can you tell me the local radar prediction	[IN:GET_WEATHER can you tell me the [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar prediction ]
